source_text	label
This product had serious problems since the beginning, I don't suggest buying it!	0.0
I bought this product and it was a waste of money.	0.0
Very useful product. I found it very good for the price.	1.0
The product is good but it is a little bit expensive.	0.5
You should consider exploring other options. If you are looking for a good product, I would recommend this one.	0.75
I would recommend this product.	1.0
I would not recommend this product.	0.0
There are pros and cons to this product.	0.5
Even if it is a good product, I would recommend you to look for other options.	0.25
Buy it!    1.0
